IP:Port,Loss,Latency
162.159.192.125:890,0%,152.38
162.159.192.59:3581,0%,152.95
162.159.192.76:908,0%,152.99
162.159.195.132:942,0%,153.09
162.159.192.228:859,0%,153.16
162.159.192.27:1701,0%,153.48
162.159.192.245:1180,0%,153.49
162.159.195.123:4177,0%,153.54
162.159.192.92:854,0%,153.60
162.159.192.199:878,0%,153.66
162.159.192.116:934,0%,153.83
162.159.192.109:7152,0%,153.85
162.159.195.215:5956,0%,153.91
162.159.192.163:903,0%,153.94
162.159.192.175:2506,0%,153.95
162.159.195.153:3476,0%,153.95
162.159.195.123:3581,0%,154.01
162.159.192.92:4177,0%,154.01
162.159.192.109:4500,0%,154.01
162.159.195.130:908,0%,154.11
162.159.192.59:4233,0%,154.16
162.159.192.234:880,0%,154.17
162.159.195.156:968,0%,154.17
162.159.195.17:7559,0%,154.27
162.159.195.243:7103,0%,154.29
162.159.192.214:1074,0%,154.32
162.159.192.234:987,0%,154.35
162.159.195.3:1070,0%,154.41
162.159.195.31:3581,0%,154.44
162.159.192.145:878,0%,154.44
162.159.195.207:7152,0%,154.72
162.159.192.130:908,0%,155.12
162.159.192.105:7103,0%,155.16
162.159.195.196:7103,0%,155.76
162.159.192.130:934,0%,155.89
162.159.192.95:4233,0%,156.16
162.159.195.24:987,0%,156.37
162.159.195.211:4177,0%,156.75
162.159.192.254:988,0%,157.15
162.159.192.246:908,0%,157.16
162.159.192.192:7103,0%,157.26
162.159.195.85:946,0%,157.31
162.159.192.135:894,0%,157.37
162.159.192.24:1014,0%,157.39
162.159.195.9:903,0%,157.39
162.159.192.225:3476,0%,157.42
162.159.195.173:7281,0%,157.44
162.159.195.113:908,0%,157.48
162.159.192.232:928,0%,157.50
162.159.192.139:7559,0%,157.52
162.159.192.22:1387,0%,157.52
162.159.192.14:8854,0%,157.53
162.159.192.65:500,0%,157.57
162.159.192.31:3581,0%,157.60
162.159.195.5:894,0%,157.61
162.159.192.190:8319,0%,157.63
162.159.195.74:1018,0%,157.66
162.159.192.77:8886,0%,157.67
162.159.192.104:3138,0%,157.69
162.159.195.44:908,0%,157.72
162.159.195.14:7156,0%,157.73
162.159.192.80:864,0%,157.78
162.159.195.115:1014,0%,157.78
162.159.195.216:903,0%,157.80
162.159.192.131:928,0%,157.82
162.159.192.85:7152,0%,157.82
162.159.195.160:7156,0%,157.96
162.159.195.250:4198,0%,157.98
162.159.195.83:987,0%,158.18
162.159.195.241:1018,0%,158.20
162.159.192.142:943,0%,158.21
162.159.195.200:3581,0%,158.23
162.159.192.24:908,0%,158.25
162.159.195.145:7559,0%,158.31
162.159.192.65:8319,0%,158.33
162.159.192.217:3581,0%,158.33
162.159.195.119:903,0%,158.37
162.159.192.204:2506,0%,158.45
162.159.195.249:1070,0%,158.50
162.159.195.170:859,0%,158.52
162.159.195.192:5279,0%,158.55
162.159.195.46:928,0%,158.59
162.159.192.129:4233,0%,158.65
162.159.195.61:8854,0%,158.68
162.159.195.20:2408,0%,158.69
162.159.195.230:4500,0%,158.69
162.159.192.221:3138,0%,158.75
162.159.195.61:987,0%,158.78
162.159.192.17:8854,0%,158.84
162.159.192.47:908,0%,158.86
162.159.192.142:878,0%,158.86
162.159.195.23:943,0%,158.86
162.159.195.83:1002,0%,158.87
162.159.192.226:878,0%,158.87
162.159.192.196:8886,0%,158.89
162.159.195.103:7152,0%,158.95
162.159.192.248:955,0%,158.96
162.159.195.212:4500,0%,159.04
162.159.195.209:854,0%,159.11
162.159.192.93:864,0%,159.16
162.159.192.246:2408,0%,159.34
162.159.192.231:859,0%,159.36
162.159.195.137:8886,0%,159.54
162.159.192.213:7281,0%,159.75
162.159.195.116:987,0%,160.16
162.159.195.23:7281,0%,160.20
162.159.192.147:4233,0%,160.33
162.159.192.36:1180,0%,160.33
162.159.195.185:968,0%,160.51
162.159.192.148:8319,0%,160.73
162.159.192.50:988,0%,160.80
162.159.195.48:1701,0%,160.81
162.159.192.19:1070,0%,160.94
162.159.192.148:1701,0%,160.97
162.159.195.219:8886,0%,161.06
162.159.192.19:8854,0%,161.14
162.159.195.134:1074,0%,161.15
162.159.195.124:500,0%,161.25
162.159.192.39:8886,0%,161.33
162.159.195.177:946,0%,161.59
162.159.192.229:988,0%,161.82
162.159.192.224:1387,0%,161.88
162.159.195.214:1180,0%,161.93
162.159.192.91:3854,0%,161.95
162.159.195.104:2371,0%,162.03
162.159.192.38:8319,0%,162.06
162.159.192.95:1070,0%,162.18
162.159.192.12:7156,0%,162.19
162.159.192.66:3138,0%,162.32
162.159.195.191:7559,0%,162.41
162.159.195.226:928,0%,162.41
162.159.195.191:7156,0%,162.42
162.159.195.67:934,0%,162.45
162.159.192.145:3854,0%,162.52
162.159.195.136:5956,0%,162.76
162.159.195.182:891,0%,162.77
162.159.192.21:3854,0%,163.11
162.159.192.32:8886,0%,164.12
162.159.192.12:955,0%,164.54
162.159.192.12:1180,0%,164.72
162.159.195.193:4233,0%,165.97
162.159.192.207:864,0%,166.07
162.159.192.24:4233,0%,166.35
162.159.195.231:1002,0%,169.23
162.159.192.240:5956,0%,170.15
162.159.195.191:1074,0%,170.26
162.159.195.245:7152,0%,175.59
162.159.195.198:7152,0%,175.72
162.159.195.105:1014,0%,175.88
162.159.192.13:988,0%,179.03
162.159.192.51:5279,0%,179.51
162.159.195.127:859,0%,179.68
162.159.192.158:890,0%,179.71
162.159.195.142:3138,0%,179.78
162.159.195.169:854,0%,180.84
188.114.98.117:8886,0%,180.95
162.159.195.203:4177,0%,184.40
162.159.195.34:945,0%,184.88
188.114.99.176:8319,0%,186.66
188.114.99.246:4177,0%,186.70
188.114.97.168:908,0%,189.18
188.114.97.41:880,0%,189.23
188.114.98.53:928,0%,189.44
188.114.99.141:903,0%,189.51
188.114.96.180:7103,0%,189.51
188.114.96.222:4233,0%,189.52
188.114.99.195:7559,0%,189.60
188.114.96.222:1701,0%,189.65
188.114.97.67:987,0%,189.79
188.114.96.146:2371,0%,190.00
188.114.98.199:880,0%,190.49
188.114.99.141:4198,0%,191.05
188.114.99.242:864,0%,192.08
188.114.98.85:3854,0%,192.36
188.114.96.199:943,0%,192.92
188.114.97.117:1701,0%,193.01
188.114.97.180:945,0%,193.41
188.114.96.110:1070,0%,193.96
188.114.98.117:968,0%,194.79
188.114.98.128:500,0%,194.85
188.114.97.1:8742,0%,194.94
188.114.99.167:2408,0%,194.94
188.114.97.44:854,0%,194.96
188.114.97.222:945,0%,195.04
188.114.97.7:946,0%,195.05
188.114.98.77:1180,0%,195.16
188.114.98.246:968,0%,195.16
188.114.96.22:3476,0%,195.17
188.114.99.247:894,0%,195.17
188.114.96.25:7152,0%,195.23
188.114.98.187:1070,0%,195.26
188.114.96.203:7281,0%,195.29
188.114.96.243:928,0%,195.33
188.114.96.127:968,0%,195.34
188.114.96.81:1074,0%,195.42
188.114.96.112:1010,0%,195.43
188.114.97.127:946,0%,195.47
188.114.97.168:3138,0%,195.48
188.114.99.63:955,0%,195.49
188.114.99.192:955,0%,195.53
188.114.97.207:7152,0%,195.54
188.114.99.231:890,0%,195.62
188.114.97.255:864,0%,195.64
188.114.99.167:908,0%,195.68
188.114.96.200:8742,0%,195.76
188.114.99.93:968,0%,195.89
188.114.98.0:5279,0%,195.89
188.114.98.155:3476,0%,195.90
188.114.98.7:8854,0%,196.03
188.114.97.254:928,0%,196.19
188.114.98.209:8742,0%,196.28
188.114.99.230:1010,0%,196.34
188.114.98.163:939,0%,196.37
188.114.96.82:7281,0%,196.65
188.114.97.85:1843,0%,196.65
188.114.98.160:988,0%,197.20
188.114.97.77:908,0%,197.75
188.114.97.127:8319,0%,197.96
188.114.99.162:864,0%,197.96
188.114.96.231:880,0%,198.04
188.114.98.30:5956,0%,198.07
188.114.98.187:4177,0%,198.11
188.114.96.152:5279,0%,198.17
188.114.98.29:1180,0%,198.28
188.114.99.254:928,0%,198.37
188.114.96.96:2371,0%,198.38
188.114.96.134:1074,0%,198.40
188.114.96.96:4177,0%,198.43
188.114.98.34:8854,0%,198.56
188.114.97.105:1074,0%,198.64
188.114.98.155:939,0%,198.95
188.114.98.25:946,0%,198.97
188.114.98.186:1002,0%,199.25
188.114.99.254:955,0%,199.42
188.114.98.65:880,0%,199.47
188.114.96.233:1010,0%,199.50
188.114.96.5:903,0%,199.51
188.114.97.246:942,0%,199.51
188.114.97.183:5279,0%,199.57
188.114.98.156:943,0%,199.58
188.114.98.66:4500,0%,199.67
188.114.99.48:1701,0%,199.74
188.114.99.144:1018,0%,199.88
188.114.97.146:928,0%,200.09
188.114.99.36:7103,0%,200.12
188.114.97.117:1843,0%,200.51
188.114.97.187:7156,0%,200.70
188.114.99.194:903,0%,200.81
188.114.96.82:942,0%,201.27
188.114.98.208:4233,0%,201.37
188.114.98.60:968,0%,201.43
188.114.97.142:5956,0%,201.46
188.114.98.180:4198,0%,201.57
188.114.96.197:1701,0%,201.60
188.114.96.160:943,0%,201.68
188.114.96.136:1014,0%,201.69
188.114.96.64:928,0%,201.71
188.114.98.177:3138,0%,201.72
188.114.97.128:5279,0%,201.72
188.114.97.173:2506,0%,201.76
188.114.96.73:878,0%,201.77
188.114.99.80:928,0%,201.80
188.114.96.163:8742,0%,201.85
188.114.96.163:1701,0%,201.89
188.114.97.65:3854,0%,201.92
188.114.97.102:1018,0%,201.93
188.114.96.13:4198,0%,201.93
188.114.99.224:891,0%,201.99
188.114.98.123:8319,0%,201.99
188.114.99.197:939,0%,202.00
188.114.99.179:4500,0%,202.02
188.114.96.128:891,0%,202.05
188.114.99.172:5956,0%,202.10
188.114.97.99:1180,0%,202.27
188.114.96.224:859,0%,202.61
188.114.96.188:880,0%,202.61
188.114.97.202:1002,0%,202.70
188.114.98.158:1070,0%,202.73
188.114.97.19:1387,0%,202.78
188.114.97.60:3581,0%,202.79
188.114.99.18:943,0%,202.84
188.114.96.209:1843,0%,202.91
188.114.99.94:1002,0%,202.94
188.114.97.131:4500,0%,202.95
188.114.97.122:1701,0%,203.28
188.114.98.201:878,0%,203.30
188.114.99.112:1070,0%,203.35
188.114.99.213:5956,0%,203.37
188.114.96.98:1074,0%,203.38
188.114.99.96:1701,0%,203.44
188.114.98.207:1010,0%,203.52
188.114.98.29:1018,0%,203.62
188.114.97.249:854,0%,203.73
188.114.99.96:1070,0%,203.77
188.114.98.192:1180,0%,203.78
188.114.99.10:934,0%,203.88
188.114.96.115:7281,0%,203.88
188.114.98.16:854,0%,203.90
188.114.97.168:500,0%,203.93
188.114.99.76:1018,0%,203.98
188.114.98.90:987,0%,204.04
188.114.97.56:7559,0%,204.04
188.114.97.255:945,0%,204.14
188.114.98.169:4500,0%,204.21
188.114.96.115:908,0%,204.31
188.114.99.6:5279,0%,204.32
188.114.97.143:7152,0%,204.36
188.114.97.187:3476,0%,204.41
188.114.97.90:4177,0%,204.43
188.114.99.247:5956,0%,204.49
188.114.99.155:2408,0%,205.06
188.114.96.78:7103,0%,205.19
188.114.99.245:942,0%,205.20
188.114.97.243:988,0%,205.30
188.114.99.67:1074,0%,205.38
188.114.98.9:945,0%,205.72
188.114.96.121:946,0%,205.73
188.114.98.96:8886,0%,205.80
188.114.96.217:894,0%,205.82
188.114.99.146:1014,0%,205.85
188.114.96.221:4198,0%,205.95
188.114.97.202:1018,0%,206.04
188.114.99.196:908,0%,206.18
188.114.96.28:7156,0%,206.20
188.114.96.156:987,0%,206.24
188.114.99.94:945,0%,206.36
188.114.97.37:934,0%,206.43
188.114.99.32:4177,0%,206.43
188.114.96.122:1180,0%,206.50
188.114.97.139:943,0%,206.52
188.114.97.136:1018,0%,206.52
188.114.98.85:934,0%,206.53
188.114.99.227:1180,0%,206.71
188.114.99.233:2408,0%,206.94
188.114.97.139:2506,0%,207.05
188.114.98.86:8319,0%,207.27
188.114.97.140:7156,0%,207.33
188.114.99.146:3581,0%,207.44
188.114.97.250:7559,0%,207.74
188.114.98.81:4198,0%,207.79
188.114.97.70:928,0%,207.85
188.114.98.175:987,0%,207.92
188.114.99.234:3581,0%,208.01
188.114.99.13:955,0%,208.02
188.114.98.241:1018,0%,208.10
188.114.96.226:8854,0%,208.15
188.114.98.190:894,0%,208.17
188.114.96.148:988,0%,208.19
188.114.97.21:1387,0%,208.23
188.114.98.68:880,0%,208.25
188.114.97.170:1002,0%,208.26
188.114.96.213:890,0%,208.27
188.114.98.177:1018,0%,208.28
188.114.98.159:4233,0%,208.29
188.114.96.219:3581,0%,208.36
188.114.98.193:942,0%,208.37
188.114.97.201:2506,0%,208.37
188.114.97.12:7152,0%,208.45
188.114.97.181:5279,0%,208.45
188.114.96.132:859,0%,208.46
188.114.99.153:1010,0%,208.48
188.114.98.0:1018,0%,208.55
188.114.99.200:987,0%,208.57
188.114.98.112:3476,0%,208.59
188.114.99.83:903,0%,208.62
188.114.97.75:859,0%,208.63
188.114.97.187:864,0%,208.65
188.114.98.19:7559,0%,208.68
188.114.96.78:2408,0%,208.73
188.114.98.139:942,0%,208.74
188.114.99.98:878,0%,208.78
188.114.97.142:939,0%,208.80
188.114.98.150:1843,0%,208.87
188.114.97.179:3854,0%,208.87
188.114.98.214:7103,0%,208.88
188.114.96.151:894,0%,208.89
188.114.98.166:7281,0%,208.94
188.114.99.142:942,0%,208.99
188.114.98.209:4177,0%,209.27
188.114.98.91:7281,0%,209.36
188.114.99.234:4198,0%,209.41
188.114.96.252:880,0%,209.61
188.114.97.217:8742,0%,209.80
188.114.98.107:955,0%,210.01
188.114.97.240:864,0%,210.01
188.114.97.12:7156,0%,210.02
188.114.99.24:946,0%,210.05
188.114.98.144:1180,0%,210.09
188.114.96.246:1014,0%,210.11
188.114.98.184:7103,0%,210.13
188.114.98.12:988,0%,210.24
188.114.99.56:1701,0%,210.28
188.114.99.237:7559,0%,210.38
188.114.98.40:3854,0%,210.56
188.114.96.225:854,0%,210.63
188.114.99.110:5956,0%,210.66
188.114.96.106:934,0%,210.78
188.114.98.225:988,0%,210.82
188.114.97.219:1387,0%,210.85
188.114.96.179:987,0%,210.89
188.114.99.202:890,0%,210.92
188.114.99.99:7152,0%,210.96
188.114.97.102:854,0%,211.05
188.114.96.237:4198,0%,211.11
188.114.96.18:3581,0%,211.26
188.114.97.101:2408,0%,211.31
188.114.98.22:928,0%,211.37
188.114.96.56:1010,0%,211.39
188.114.96.103:8886,0%,211.46
188.114.99.163:3581,0%,212.23
188.114.96.133:8854,0%,212.36
188.114.98.189:1074,0%,212.63
188.114.99.227:7103,0%,212.79
188.114.97.159:890,0%,212.79
188.114.97.115:955,0%,212.95
188.114.99.221:1014,0%,212.98
188.114.97.251:3476,0%,213.43
188.114.97.72:864,0%,214.08
188.114.97.94:878,0%,214.17
188.114.96.236:928,0%,214.26
188.114.96.138:8854,0%,214.35
188.114.96.155:8742,0%,214.37
188.114.99.209:7281,0%,214.39
188.114.96.217:928,0%,214.52
188.114.97.76:854,0%,214.64
188.114.96.244:2408,0%,214.64
188.114.98.12:946,0%,214.71
188.114.99.46:4500,0%,214.71
188.114.99.252:1701,0%,214.71
188.114.99.238:968,0%,214.97
188.114.99.73:946,0%,215.03
188.114.98.27:945,0%,215.09
188.114.96.18:943,0%,215.15
188.114.98.235:3138,0%,215.15
188.114.98.166:8742,0%,215.17
188.114.97.218:903,0%,215.29
188.114.96.56:946,0%,215.84
188.114.96.98:4233,0%,216.03
188.114.97.242:5956,0%,216.07
188.114.99.13:864,0%,216.56
188.114.99.253:968,0%,216.74
188.114.97.48:8854,0%,216.74
188.114.97.215:1014,0%,216.77
188.114.98.11:8886,0%,217.17
188.114.98.100:8742,0%,217.27
188.114.98.114:945,0%,217.50
188.114.96.121:1387,0%,217.71
188.114.99.102:8319,0%,218.10
188.114.97.228:968,0%,220.74
188.114.98.4:945,0%,220.91
188.114.98.121:7281,0%,221.26
162.159.192.125:5956,10%,154.08
162.159.192.172:987,10%,156.40
162.159.195.165:1843,10%,157.38
162.159.192.88:934,10%,157.70
162.159.195.21:2371,10%,157.80
162.159.195.188:4233,10%,158.06
162.159.192.16:908,10%,158.18
162.159.192.44:1070,10%,158.20
162.159.192.120:1002,10%,158.43
162.159.192.239:2408,10%,158.69
162.159.192.233:7156,10%,158.77
162.159.192.239:934,10%,158.94
162.159.195.205:1074,10%,164.08
162.159.192.109:878,10%,164.52
162.159.195.174:7103,10%,165.84
188.114.98.143:4177,10%,186.13
188.114.96.233:1002,10%,195.19
188.114.98.232:968,10%,195.46
188.114.99.120:987,10%,196.12
188.114.97.255:500,10%,198.42
188.114.99.161:8742,10%,198.79
188.114.97.70:955,10%,198.81
188.114.99.41:988,10%,199.03
188.114.96.209:3854,10%,199.59
188.114.99.28:908,10%,199.85
188.114.99.23:8742,10%,201.75
188.114.99.2:1010,10%,201.91
188.114.96.175:500,10%,202.06
188.114.97.235:890,10%,202.07
188.114.98.217:4177,10%,202.09
